Model,Accuracy,Precision,Recall,F1-Score
Gemini_2.5_Preview_1.0_run_2.json,0.6581,0.6129,0.9344,0.7402
DeepSeek_R1_temp_1.0_run_2.json,0.6838,0.6667,0.7869,0.7218
DeepSeek_R1_temp_1.0_run_1.json,0.6239,0.5895,0.918,0.718
DeepSeek_R1_temp_0.0_run_2.json,0.6667,0.6447,0.8033,0.7153
DeepSeek_R1_temp_1.0_run_3.json,0.6154,0.5833,0.918,0.7133
Gemini_2.5_Preview_0.0_run_2.json,0.6154,0.5851,0.9016,0.7097
GPT4_omni_temp_1.0_run_2.json,0.6838,0.6818,0.7377,0.7086
OpenAI_o3_mini_temp_low_run_2_labels.json,0.6068,0.5789,0.9016,0.7051
DeepSeek_R1_temp_0.0_run_3.json,0.6154,0.5889,0.8689,0.702
OpenAI_o3_mini_temp_medium_run_2_labels.json,0.5812,0.5588,0.9344,0.6994
OpenAI_o3_mini_temp_high_run_2_labels.json,0.5726,0.5524,0.9508,0.6988
Gemini_2.5_Preview_1.0_run_3.json,0.5556,0.5413,0.9672,0.6941
Gemini_2.5_Preview_0.0_run_3.json,0.547,0.5357,0.9836,0.6936
Gemini_2.0_Flash_temp_0.0_run_2.json,0.6239,0.6076,0.7869,0.6857
Gemini_2.5_Preview_0.0_run_1.json,0.5214,0.5217,0.9836,0.6818
GPT4_omni_temp_0.0_run_2.json,0.6154,0.6,0.7869,0.6809
Gemini_2.5_Preview_1.0_run_1.json,0.4957,0.5089,0.9344,0.6589
Gemini_2.0_Flash_temp_1.0_run_2.json,0.5983,0.5921,0.7377,0.6569
Gemini_2.5_Preview_1.0_run_0.json,0.5897,0.5867,0.7213,0.6471
GPT4_omni_temp_0.0_run_3.json,0.5983,0.5972,0.7049,0.6466
GPT4_omni_temp_1.0_run_3.json,0.6068,0.6119,0.6721,0.6406
DeepSeek_R1_temp_0.0_run_1.json,0.5385,0.5393,0.7869,0.64
Gemini_2.5_Preview_0.0_run_0.json,0.5641,0.5641,0.7213,0.6331
OpenAI_o3_mini_temp_high_run_3_labels.json,0.5812,0.5857,0.6721,0.6259
OpenAI_o3_mini_temp_high_run_1_labels.json,0.5812,0.5857,0.6721,0.6259
Gemini_2.0_Flash_temp_1.0_run_1.json,0.5385,0.5479,0.6557,0.597
Gemini_2.0_Flash_temp_0.0_run_1.json,0.5299,0.5429,0.623,0.5802
DeepSeek_V3_temp_0.0_run_2_rerun.json,0.6068,0.6596,0.5082,0.5741
Gemini_2.0_Flash_temp_1.0_run_0.json,0.5812,0.6111,0.541,0.5739
DeepSeek_V3_temp_0.0_run_3_rerun.json,0.5897,0.6327,0.5082,0.5637
OpenAI_o3_mini_temp_medium_run_1_labels.json,0.5556,0.5818,0.5246,0.5517
DeepSeek_V3_temp_1.0_run_3_rerun.json,0.5897,0.6444,0.4754,0.5471
Gemini_2.0_Flash_temp_0.0_run_3.json,0.4957,0.5156,0.541,0.528
OpenAI_o3_mini_temp_medium_run_3_labels.json,0.5556,0.5918,0.4754,0.5273
GPT4_omni_temp_1.0_run_1.json,0.5556,0.5957,0.459,0.5185
GPT4_omni_temp_0.0_run_1.json,0.5556,0.6047,0.4262,0.5
DeepSeek_V3_temp_1.0_run_2_rerun.json,0.5897,0.6857,0.3934,0.5
Gemini_2.0_Flash_temp_1.0_run_3.json,0.4786,0.5,0.4918,0.4959
GPT4_omni_temp_1.0_run_0.json,0.5299,0.5625,0.4426,0.4954
Gemini_2.0_Flash_temp_0.0_run_0.json,0.4957,0.5208,0.4098,0.4587
GPT4_omni_temp_0.0_run_0.json,0.5385,0.6,0.3443,0.4375
DeepSeek_R1_temp_0.0_run_0.json,0.4957,0.5238,0.3607,0.4272
OpenAI_o3_mini_temp_high_run_0_labels.json,0.5043,0.5385,0.3443,0.42
OpenAI_o3_mini_temp_low_run_3_labels.json,0.5214,0.5714,0.3279,0.4167
DeepSeek_R1_temp_1.0_run_0.json,0.5128,0.5588,0.3115,0.4
DeepSeek_V3_temp_1.0_run_1_rerun.json,0.5556,0.68,0.2787,0.3954
OpenAI_o3_mini_temp_low_run_1_labels.json,0.4786,0.5,0.2951,0.3711
DeepSeek_V3_temp_0.0_run_1_rerun.json,0.5214,0.6,0.2459,0.3488
OpenAI_o3_mini_temp_medium_run_0_labels.json,0.4786,0.5,0.1967,0.2823
DeepSeek_V3_temp_0.0_run_0_rerun.json,0.4786,0.5,0.1311,0.2077
DeepSeek_V3_temp_1.0_run_0_rerun.json,0.4786,0.5,0.1148,0.1867
OpenAI_o3_mini_temp_low_run_0_labels.json,0.4872,0.5455,0.0984,0.1667
Gemini_2.5_Preview_1.0_run_5.json,0.4872,0.6667,0.0328,0.0625
Gemini_2.5_Preview_0.0_run_5.json,0.4872,0.6667,0.0328,0.0625
