Model,Accuracy,Precision,Recall,F1-Score
Gemini_2.5_Preview_temp_1.0_run_2.json,0.6581,0.6129,0.9344,0.7402
DeepSeek_R1_temp_1.0_run_2.json,0.6838,0.6667,0.7869,0.7218
DeepSeek_R1_temp_1.0_run_1.json,0.6239,0.5895,0.918,0.718
DeepSeek_R1_temp_1.0_run_3.json,0.6154,0.5833,0.918,0.7133
GPT4_omni_temp_1.0_run_2.json,0.6838,0.6818,0.7377,0.7086
OpenAI_o3_mini_temp_medium_run_2_labels.json,0.5812,0.5588,0.9344,0.6994
Gemini_2.5_Preview_temp_1.0_run_3.json,0.5556,0.5413,0.9672,0.6941
Gemini_2.5_Preview_temp_1.0_run_1.json,0.4957,0.5089,0.9344,0.6589
Gemini_2_Flash_temp_1.0_run_2.json,0.5983,0.5921,0.7377,0.6569
Gemini_2.5_Preview_temp_1.0_run_0.json,0.5897,0.5867,0.7213,0.6471
GPT4_omni_temp_1.0_run_3.json,0.6068,0.6119,0.6721,0.6406
Gemini_2_Flash_temp_1.0_run_1.json,0.5385,0.5479,0.6557,0.597
Gemini_2_Flash_temp_1.0_run_0.json,0.5812,0.6111,0.541,0.5739
OpenAI_o3_mini_temp_medium_run_1_labels.json,0.5556,0.5818,0.5246,0.5517
DeepSeek_V3_temp_1.0_run_3_rerun.json,0.5897,0.6444,0.4754,0.5471
OpenAI_o3_mini_temp_medium_run_3_labels.json,0.5556,0.5918,0.4754,0.5273
GPT4_omni_temp_1.0_run_1.json,0.5556,0.5957,0.459,0.5185
DeepSeek_V3_temp_1.0_run_2_rerun.json,0.5897,0.6857,0.3934,0.5
Gemini_2_Flash_temp_1.0_run_3.json,0.4786,0.5,0.4918,0.4959
GPT4_omni_temp_1.0_run_0.json,0.5299,0.5625,0.4426,0.4954
DeepSeek_R1_temp_1.0_run_0.json,0.5128,0.5588,0.3115,0.4
DeepSeek_V3_temp_1.0_run_1_rerun.json,0.5556,0.68,0.2787,0.3954
OpenAI_o3_mini_temp_medium_run_0_labels.json,0.4786,0.5,0.1967,0.2823
DeepSeek_V3_temp_1.0_run_0_rerun.json,0.4786,0.5,0.1148,0.1867
Gemini_2.5_Preview_temp_1.0_run_5.json,0.4872,0.6667,0.0328,0.0625
DeepSeek_R1_temp_1.0_run_5.json,0.4872,1.0,0.0164,0.0323
OpenAI_o3_mini_temp_medium_run_5_labels.json,0.4786,0.0,0.0,0.0
Gemini_2_Flash_temp_1.0_run_4.json,0.4786,0.0,0.0,0.0
Gemini_2_Flash_temp_1.0_run_5.json,0.4786,0.0,0.0,0.0
DeepSeek_R1_temp_1.0_run_4.json,0.4786,0.0,0.0,0.0
GPT4_omni_temp_1.0_run_4_labels.json,0.4786,0.0,0.0,0.0
GPT4_omni_temp_1.0_run_5_original.json,0.4786,0.0,0.0,0.0
GPT4_omni_temp_1.0_run_4_original.json,0.4786,0.0,0.0,0.0
GPT4_omni_temp_1.0_run_5_labels.json,0.4786,0.0,0.0,0.0
Gemini_2.5_Preview_temp_1.0_run_4.json,0.4786,0.0,0.0,0.0
OpenAI_o3_mini_temp_medium_run_4_labels.json,0.4786,0.0,0.0,0.0
DeepSeek_V3_temp_1.0_run_5_rerun.json,0.4786,0.0,0.0,0.0
DeepSeek_V3_temp_1.0_run_4_rerun.json,0.4786,0.0,0.0,0.0
