Id,Body
"452263","<p>please note that while I refer to a specific web application framework in the following, the problem also arises with most other web application frameworks I know so please don't be afraid to reply even if you don't have experience with NestJS.</p>
<p>I have a web application with NestJS that runs on Azure Appservices (or AWS ECS).
There are at least 2 instances active at the same time.</p>
<p>The application has a public RESTful endpoint allowing people to POST orders via HTTPS.
These are then stored in a database table.
The new orders shall be exported to a CSV file and the CSV file once a day at a fixed time to to orders processing department.
The CSV must only be emailed at most once per day.</p>
<p>Currently this does not work because the export is initiated by a @Cron (from @nestjs/schedule library) decorated method in a service class within the application.
As there are multiple instances of the docker container, the export is initiated once per running instance instead of only once per day.</p>
<p>My initial idea was to create another REST endpoint that is called once per day by a AWS lambda or Azure Functions function with a cron trigger for the lambda function. This endpoint will then invoke the export functionality.</p>
<p>As the web application instances run behind the load balancer, the HTTP POST request to start the export procedure would only be forwarded to one instance.</p>
<p>The only downside I see is that the lambda could be a single point of failure. If the cron trigger for some reason does activate or the HTTP request is lost somehow, the export would not be done right away.
But if the HTTP request to trigger the export would fail or not be sent at all on one day, it could easily be resent by manually invoking the lambda function during the day.
Another &quot;downside&quot; of this
A very small additional cost for the lamdba function resource (0,000x cents?! if already above free tier limit)</p>
<p>What the other developers suggested was to use the @nestjs/bull module which makes use of redis to synchronize a queue across all connected instances.</p>
<p>This has multiple major disadvantages in my opinion:</p>
<ul>
<li>A redis cache needs to be served with a good enough availability -&gt; bigger additional infrastructure cost per month</li>
<li>More code needed for the wrapping business logic that sets up the queues at app startup (@OnModuleInit in NestJS) compared to a small lambda function (~10 LoC) combinend with an additional HTTP POST endpoint (at most 15 LoC in NestJS)</li>
<li>NestJS specific problems: I need THREE additional dependencies: @nestjs/bull, bull, ioredis (the latter to import Redis.RedisOptions interface in the app.module)</li>
<li>Default BullModule implementation lets app startup fail when redis is not available -&gt; additional single point of failure (could potentially be circumvented by a custom wrapper module but this requires more code again)</li>
<li>Migration to other web application framework would be harder because the new framework would need to provide an implementation to consume the jobs from the redis queue. Quite unlikely that there would be an existing component that can also process the cron jobs stored in @nestjs/bull's data structures within redis. An HTTP POST API on the other hand can be replicated very easily using most web application frameworks (Spring, NestJS, Django, Golang Frameworks, etc.)</li>
</ul>
<p>Downsides both solutions have:</p>
<ul>
<li>Additional terraform resource (lambda function or redis cache)</li>
<li>Increased overall system complexity</li>
</ul>
<p>Question 1:) What am I overlooking?</p>
<p>Question 2:)
What other advantages / disadvantages do you see in both approaches?</p>
<p>Question 3:) what other approaches are there with having even fewer disadvantages?</p>
"
"450653","<blockquote>
<p>where the data will be hosted by the software company</p>
</blockquote>
<p>The problem with that approach is that you end up effectively undoing that arms-length cloud hosting when you want to draw things together for bespoke reporting, because the data ends up back in your possession for you to manage.</p>
<p>The real perceived advantage of most cloud hosting from a client perspective, is avoiding the need to retain staff who understand a particular application enough to keep it in working order, or understand a database enough to develop with it.</p>
<p>For small businesses (i.e. a one- or two-man band) who have one system and can't afford any full-time technical staff, having the provider manage everything is a boon.</p>
<p>But once you start having multiple systems to look after and extracting the data for bespoke reporting, you'll find you need all those technical staff again, not just to perform the practical work of configuration or development, but to retain the knowledge necessary to do the work and to orchestrate things in your particular business.</p>
<p>And as well as undoing <em>part of what you're paying for</em> with a cloud model, the provider also might well have your pants down just for letting you extract your own data.</p>
<p>Indeed it seems many cloud platforms are still in the subsidisation stage, where companies are going easy on the licensing charges to establish the popularity of the model, after which licensing prices will soar.</p>
<p>It's something to think carefully about.</p>
<blockquote>
<p>I'm not sure if anyone is familiar with those applications, but I'm more interested in the prospect of the organization storing data in this way without an in-house DBA to manage everything.</p>
</blockquote>
<p>For a setup of any complexity, you'll likely need internal technical staff to manage and oversee the technical setup, ongoingly.</p>
<p>If your reporting from each core system is simple (and always will be) and there isn't any need for integration of the data, you might be able to do without a data warehouse, and pipe data directly from core systems to Power BI.</p>
<p>But in my experience, you also find that core systems usually already have a simple reporting capability built-in, and people only consider facilities like Power BI when they have serious bespoke reporting needs which are not &quot;simple&quot; in the relevant sense.</p>
<p>Instead the needs are usually &quot;complex&quot; in that you need (at least) a real development environment with programming languages (at least SQL), and proper scheduling facilities. You might also need to think about test environments, source code management, credential management, network and data security, and so on. All this adds up to needing skilled staff.</p>
"
"448250","<p>The kinds of requirements you need to store data is <em>very</em> different from the kind of requirements you need to run a set of computationally complex calculations on a data set, and while this is not the only use case it <em>especially</em> applies if you're running into exponentially expanding complexity (or close to it) due to the interactions in your large data set.</p>
<p>Just to create an example, it's fairly straightforward to store the data for customers, products, stores (including inventory) and purchases. Those are 4 CRUD endpoints that hardly interact with one another. CPU-wise, you don't need much.</p>
<p>But let's ask ourselves the question if the customer bought products optimally, i.e. in a way that the total commute distance from the customer's home to the store where they made a purchase is minimal (across all purchases made).<br />
This requires a lot of calculation complexity. Not only do you have to calculate distances, you also have to consider that if you find that Customer A lives closer to store B than to store A, and that these stores both sell the same product, you have to also account whether store B's inventory has one of these products to spare. And if there's multiple customers who could go to store B instead, which ones should we shift around to maximize our improvements?</p>
<p>I've intentionally picked an example that leads to many different possible subcomplexities and calculation to show you the difference between straight up storing data and operating on it on a per-entity basis, compared to the kind of interaction and complexity that reporting on that same data can bring with it.</p>
<p>AWS Redshift or Google BigQuery are tailored towards big data operations, and therefore will be able to run your reporting logic better and faster than your usual hardware can.</p>
<hr />
<p>There's also some side points:</p>
<ul>
<li>What if your usual hardware does not have the kind of spare capacity for running reports, i.e. if your normal use case does not accept any kind of performance degradation?</li>
<li>The point made above is not too dissimilar from asking why search engines exist as a remote third party service (as opposed to being run locally by either the searcher or the websites themselves), albeit that this is more blatantly obvious due to the network overhead in needing to call every site in existence.</li>
</ul>
<blockquote>
<p>wouldn't a failed assertion on data in the data warehouse mean that something is not right with the data from the data source(s)?</p>
</blockquote>
<p>Be very careful about negating that statement. Yes, if your extraction already fails, there's clearly something wrong. But if your extraction <em>doesn't</em> fail, does that prove that your data is therefore all correct? <strong>No</strong>. And that's the more important consideration of the two.</p>
<blockquote>
<p>wouldn't it be better if the ETL used my app's API to extract the data instead of directly connecting to the operational (in this case, Mongo) database?</p>
</blockquote>
<p>I generally favor considering the datastore a private implementation detail of the service and therefore routing everything via the service. However, this decision is scoped to <em>application use</em>. I do make exceptions for infrastructural operations, e.g. datastore backups. Your ETL can similarly be considered an infrastructural operation that gets special access to the raw data. There are justifications for this:</p>
<ul>
<li>Maybe it's because it would put an undue burden on the service whose performance would degrade.</li>
<li>Maybe the service has a complex business layer which is plainly irrelevant for the purposes of the ETL.</li>
<li>Maybe the service is only tailored towards end-user interactions (per-entity) as opposed to bulk data operations.</li>
<li>Maybe your datastore contains audit logs that are absent from the service's output by design.</li>
</ul>
<p>I don't know which one would apply in your case since I don't know your case.</p>
"
"447666","<p>I recommend going with &quot;<em>Set up a two-hop architecture</em>&quot; option you provided. This approach adds an extra layer of security and control, as the costly machine learning API is not directly exposed to the client. You can implement rate-limiting, logging, or any other security measures at the cloud function level.</p>
<p>This architecture allows you to keep your database and machine learning API separate, enabling you to scale each component independently based on its own requirements. It also mitigates the risk of having to manage two separate authentication systems, as you mentioned with the &quot;<em>JWT and Fast API</em>&quot; option.</p>
<p>To address your concerns about pricing and provider lock-in, you can design your architecture in a way that allows you to easily switch providers. Use environment variables for configuration and keep provider-specific code isolated. Most cloud providers offer cost calculators to help you estimate expenses, and you can set up monitoring and alerts to keep track of usage and any unauthorized access attempts.</p>
<p>I think your approach offers a more secure and scalable solution that aligns well with best practices for API gatekeeping.</p>
"
"445186","<p>It seems you are designing a simple database query engine, and are now looking for efficient cloud-native approaches to handle the backing storage.</p>
<p>This is ultimately a question of cost minimization, balancing factors such as storage costs, costs of executing a query, and development costs.</p>
<p>Some points to consider:</p>
<ul>
<li><p>Keeping the original CSV file is simple, but requires re-processing the entire file for each query, which might be a bit inefficient if those files are large.</p>
</li>
<li><p>Compression might reduce storage costs. Decompression tends to be really fast.</p>
</li>
<li><p>You might transcode the data into a different, more efficient format. For example, binary formats will be more compact especially for numerical data, and allow processing without having to re-parse the file. Data formats like Apache Parquet might be worth looking at. However, this might require that you can assign types to each column, which might be tricky in practice (e.g. phone numbers might look like integers but are not).</p>
</li>
<li><p>You might split up the data into individual columns or records. Now, executing a query will require multiple sub-queries, but you might be able to perform a query without having to load all of the data. For example with columnar storage, you only have to load the <code>age</code> column in order to evaluate an age filter. If you put the data into some existing database, this will simplify query evaluation for you. But since you don't have a clear data schema, you would be limited to non-relational databases like document databases, or would have to use an inefficient EAV design.</p>
</li>
</ul>
<p>I suspect that your volume of data is very low (only a couple of GB), that individual documents are fairly small (a couple of MB), and that your rate of queries is very low (only a couple of thousands of requests per day), so that your storage-related costs are in the cents-per-month region where significant optimization is infeasible. However, development costs are orders of magnitude larger, so that more complicated approaches are likely to be uneconomical. If you're looking for faster processing with moderate development effort, a sensible initial step would be to pre-process the uploaded data into a compressed binary data format like Parquet.</p>
"
"444739","<p>I get the feeling you are about to fall into infrastructure oversizing. Your doubts are reasonable, but they also say that you don't have any fact that you need such environment segmentation. At least not yet.</p>
<p>What do you have so far? You have a monolith, which is developed and operated across three environments. They are already provisioned with everything the solution needs to be functional. I can't think of a better starting point to test (and compare) the breakdown of the monolith.</p>
<p>As more services appear in the ecosystem, the more likely you need the flexibility to test different permutations of services. That flexibility is achieved by configuration and parameterization.</p>
<p>Bear also in mind that environments are not mere infrastructure segmentations. Environments are composed of runtime and data. Data on production is often subject to regulatory compliance, so you don't assume easily that &quot;development should use the production services&quot;. It's not that simple.</p>
<p>Think also of the costs. If you were to deploy production on some of the well-known public cloud platforms, you would realize how using production services for testing development can wipe your budget in a breath.</p>
<p>Another reason to avoid mixing up environments is metrics. Cross-env resource utilization can invalidate or distort the lecture. It's going to be hard to monitor Production for adaptions if random activity in Development (or other envs) is generating &quot;noise&quot;.</p>
<p>As an MS architect, your mind should always be on the big picture. That involves the software but also infrastructure, security, operations, cost-optimization, regulatory compliances, tracking, metrics, business goals, etc.</p>
"
"444704","<p>I am trying to figure out how to design SaaS system that offers subdomain per customer (e.g. <code>&lt;customer&gt;.example.com</code>), where each customer is on specific region.</p>
<p>Due to compliance and regulation, some customers must have all data in specific regions. There are two deployments of existing system (US and EU) with different domains. System is available only on these domains and customer must know on which system they are in order to access it.</p>
<p>Now, I want to have domains in form <code>&lt;customer-name&gt;.example.com</code> and have it automatically use deployment in appropriate region.</p>
<p>Two approaches come to mind:</p>
<ol>
<li><p>have single onboarding endpoint and during onboarding contact services in appropriate region, including configuring DNS to point subdomain to services in appropriate region.</p>
</li>
<li><p>have <code>*.example.com</code> DNS record point to global proxy that knows how to route requests to appropriate region based on <code>*</code> part of the URL by checking where the customer should go.</p>
</li>
</ol>
<p>Cloud provider is AWS, Route53 for DNS management and EKS is used. Current deployments are completely separated (except for CI, monitoring and such). I am looking for solution to utilise managed services as much as possible to reduce implementation time and maintenance overhead.</p>
<p>Option #1 is not ideal as it requires dynamically setting DNS records and potentially exposes clients names by enumerating existing DNS records.</p>
<p>Option #2 introduces additional latency and potential compliance problems (in which region is proxy hosted?).</p>
<p>Are there any other options that I am not seeing? Are there some useful articles or resources on this topic?</p>
"
"442126","<p>My team have recently inherited a very poorly written, business-critical, monolithic LAMP application with the goal of guaranteeing reasonably uptime and scalability targets in just a few weeks. Our deadline is somewhat fixed because it depends on user volumes over the peak season, which we forecast will start picking up around Black Friday.</p>
<p>The monolith is currently deployed to a single, &quot;snowflake&quot; EC2 in AWS. Deployments to this instance are entirely manual. The biggest operational risk we're currently trying to mitigate with this instance is that it currently has a dynamic IP attached, which the cloud provider would likely recover if the instance rebooted due to a server crash or maintenance work. We've spoken to AWS about it and they've confirmed they would not be able to give the IP back to us. This would break dozens of integrations that are (wrongly) currently pointing to this ephemeral IP address start failing. By some miracle though, the VM has been stable enough not to crash once so this situation has never happened before but that doesn't mean the risk of it happening is not there, especially during peak traffic.</p>
<p>The monolith is very tightly coupled to the Production environment in which it runs, as it has a ton of hardcoded references to its own Production ephemeral IP address. Moreover, all of its application config is hardcoded and duplicated across every dozens of file. All of these settings assume they're running in a Production environment too.</p>
<p>We want to make the minimum amount of changes to the application code to allow us to replace its dynamic IP with a reserved, static one. However, because the monolith is not modular at all and there is little to no code reuse in it, we've basically had to change hundreds of files just to be able to fetch all the application settings from a single config file. This has allowed us to deploy a version of the monolith with Test settings to a Test environment that we're able to run manual tests against.</p>
<p>Even though each individual change we've made is very small, we have basically touched almost every source file in the codebase. The people that wrote this legacy application and therefore had any good understanding as to how it works no longer work at our company. With no support from domain experts and no automated test coverage whatsoever, we're looking at a pretty risky, time-sensitive deployment that we know needs to happen as things could get pretty ugly for us if the instance reboots or dies for whatever reason and we lose its IP.</p>
<p>So the main question facing us now is, what would be the safest way to make this deployment happen as safely as the circumstances allow? We've also ruled out accomplishing this through multiple deployments because of how tightly coupled and messy the code is.</p>
<p>I'm not looking for any silver bullets here. Any ideas or suggestions would be more than welcome.</p>
"
"441569","<p>I'm currently developing a chatbot that will be used for booking trips. The particular party I'm interested in for now is the rider. I'm using AWS's DynamoDB, because it seemed to be the most flexible and fast for a system like this that is likely to get lots of concurrent traffic, and in which records won't have well-defined schemas.</p>
<p>The idea is, the rider greets the bot, the bot responds asking them if they're a rider or driver. For now, I'm only concerned about the rider. The first and most obvious thing is to create an item in the DB of the user, identified by the phone number of the user. in addition to that, I should also probably store the role of the user as an attribute, so that in the future they don't have to repeat this first step.</p>
<p>From here, the rider then has the option to view active trips (ones that have been booked but not completed), cancel a trip, or book a new trip. The trip details will all be stored on a different database I handle elsewhere. The only thing that I will store concerning the trip in the message history database is the trip's id, so that I can retrieve the relevant details of the trip from the other database using the id.</p>
<p>The next steps in the flow should be straightforward.</p>
<p>Here's my problem. I have to track context to know where in the flow the user is. How I'm thinking of doing this is by creating a conversation item in the database that then tracks the context/topic with a user. Then, when the user enters into a new part of the flow, the context for that conversation is updated, and the chatbot knows what response to then give.</p>
<p>From what I read in the AWS docs, they recommended that you use a single-table design for this. But I'm struggling to understand how exactly I would structure the database in this case, and particularly in an efficient manner. Would I set the partition key to be the user_id (phone number), and then store lists of messages and conversations associated with that number?</p>
<p>I'd appreciate any help with this problem.</p>
"
"440285","<p>AWS Lambdas never made any sense.</p>
<p>Or perhaps I should say &quot;serverless applications&quot; never made any sense. Because it seems to me that's what you are doing, moving application code to lambdas for cost reasons.</p>
<p>As you note, actually the lambdas all run on instances that get billed by the hour, so unless you have long periods of nothing running at all you hardly save any money over always having a tiny instance up.</p>
<p>You also have the various complexities you outline, essentially you are forced into a nano-service++ architecture with complex orchestration problems.</p>
<p>Now you can in theory imagine an application where this architecture is ideal, lots of queues, events and mini functions all working together, but in practice its a bit like functional programming. Nice in theory, but difficult to apply to standard &quot;line of business&quot; applications.</p>
<p>In summary, only use Lambdas where you have a specific need for them. Don't use them because the billing model appears different.</p>
"
