Id,Link,relevant
306873,Click Here,Yes
307305,Click Here,No
308035,Click Here,No
310036,Click Here,Yes
315163,Click Here,Yes
315927,Click Here,Yes
315931,Click Here,Yes
315965,Click Here,Yes
316508,Click Here,No
322077,Click Here,No
322153,Click Here,No
322658,Click Here,No
322899,Click Here,No
324564,Click Here,Yes
325112,Click Here,No
330808,Click Here,No
331073,Click Here,Yes
332982,Click Here,No
333128,Click Here,Yes
333291,Click Here,Yes
334294,Click Here,Yes
334663,Click Here,No
334664,Click Here,No
334800,Click Here,Yes
336154,Click Here,Yes
338692,Click Here,Yes
338746,Click Here,Yes
338755,Click Here,No
340747,Click Here,Yes
340772,Click Here,Yes
341113,Click Here,No
342331,Click Here,Yes
347591,Click Here,Yes
349301,Click Here,No
350817,Click Here,Yes
351507,Click Here,No
351970,Click Here,No
356334,Click Here,Yes
357689,Click Here,No
360022,Click Here,Yes
363959,Click Here,Yes
363962,Click Here,No
363972,Click Here,Yes
365193,Click Here,Yes
365330,Click Here,Yes
369596,Click Here,Yes
370490,Click Here,Yes
372002,Click Here,Yes
372833,Click Here,Yes
373055,Click Here,No
376325,Click Here,Yes
376805,Click Here,No
378239,Click Here,No
378569,Click Here,No
379926,Click Here,Yes
382607,Click Here,Yes
382785,Click Here,Yes
384565,Click Here,No
384682,Click Here,Yes
385346,Click Here,Yes
386307,Click Here,Yes
388892,Click Here,Yes
390552,Click Here,No
391040,Click Here,No
391902,Click Here,Yes
392697,Click Here,Yes
394623,Click Here,No
399960,Click Here,No
401720,Click Here,No
402623,Click Here,Yes
402967,Click Here,Yes
403071,Click Here,Yes
403152,Click Here,Yes
403412,Click Here,Yes
403459,Click Here,Yes
404970,Click Here,No
405176,Click Here,Yes
406350,Click Here,Yes
409372,Click Here,Yes
411735,Click Here,No
411767,Click Here,Yes
411788,Click Here,No
412144,Click Here,No
414686,Click Here,No
415998,Click Here,Yes
418151,Click Here,Yes
418163,Click Here,No
418620,Click Here,No
420466,Click Here,Yes
420711,Click Here,No
420772,Click Here,No
420877,Click Here,No
421082,Click Here,No
422123,Click Here,No
422736,Click Here,No
423151,Click Here,Yes
424900,Click Here,Yes
425746,Click Here,No
425900,Click Here,No
426618,Click Here,No
431205,Click Here,No
432288,Click Here,No
432796,Click Here,No
433012,Click Here,No
433023,Click Here,No
433568,Click Here,No
436432,Click Here,No
436491,Click Here,Yes
439240,Click Here,No
439256,Click Here,No
440067,Click Here,Yes
440285,Click Here,No
441569,Click Here,Yes
442126,Click Here,Yes
444704,Click Here,Yes
444739,Click Here,Yes
445186,Click Here,Yes
447666,Click Here,No
448250,Click Here,Yes
450653,Click Here,No
452263,Click Here,No
