Id,Body
448250,"<p>The kinds of requirements you need to store data is <em>very</em> different from the kind of requirements you need to run a set of computationally complex calculations on a data set, and while this is not the only use case it <em>especially</em> applies if you're running into exponentially expanding complexity (or close to it) due to the interactions in your large data set.</p>
<p>Just to create an example, it's fairly straightforward to store the data for customers, products, stores (including inventory) and purchases. Those are 4 CRUD endpoints that hardly interact with one another. CPU-wise, you don't need much.</p>
<p>But let's ask ourselves the question if the customer bought products optimally, i.e. in a way that the total commute distance from the customer's home to the store where they made a purchase is minimal (across all purchases made).<br />
This requires a lot of calculation complexity. Not only do you have to calculate distances, you also have to consider that if you find that Customer A lives closer to store B than to store A, and that these stores both sell the same product, you have to also account whether store B's inventory has one of these products to spare. And if there's multiple customers who could go to store B instead, which ones should we shift around to maximize our improvements?</p>
<p>I've intentionally picked an example that leads to many different possible subcomplexities and calculation to show you the difference between straight up storing data and operating on it on a per-entity basis, compared to the kind of interaction and complexity that reporting on that same data can bring with it.</p>
<p>AWS Redshift or Google BigQuery are tailored towards big data operations, and therefore will be able to run your reporting logic better and faster than your usual hardware can.</p>
<hr />
<p>There's also some side points:</p>
<ul>
<li>What if your usual hardware does not have the kind of spare capacity for running reports, i.e. if your normal use case does not accept any kind of performance degradation?</li>
<li>The point made above is not too dissimilar from asking why search engines exist as a remote third party service (as opposed to being run locally by either the searcher or the websites themselves), albeit that this is more blatantly obvious due to the network overhead in needing to call every site in existence.</li>
</ul>
<blockquote>
<p>wouldn't a failed assertion on data in the data warehouse mean that something is not right with the data from the data source(s)?</p>
</blockquote>
<p>Be very careful about negating that statement. Yes, if your extraction already fails, there's clearly something wrong. But if your extraction <em>doesn't</em> fail, does that prove that your data is therefore all correct? <strong>No</strong>. And that's the more important consideration of the two.</p>
<blockquote>
<p>wouldn't it be better if the ETL used my app's API to extract the data instead of directly connecting to the operational (in this case, Mongo) database?</p>
</blockquote>
<p>I generally favor considering the datastore a private implementation detail of the service and therefore routing everything via the service. However, this decision is scoped to <em>application use</em>. I do make exceptions for infrastructural operations, e.g. datastore backups. Your ETL can similarly be considered an infrastructural operation that gets special access to the raw data. There are justifications for this:</p>
<ul>
<li>Maybe it's because it would put an undue burden on the service whose performance would degrade.</li>
<li>Maybe the service has a complex business layer which is plainly irrelevant for the purposes of the ETL.</li>
<li>Maybe the service is only tailored towards end-user interactions (per-entity) as opposed to bulk data operations.</li>
<li>Maybe your datastore contains audit logs that are absent from the service's output by design.</li>
</ul>
<p>I don't know which one would apply in your case since I don't know your case.</p>
"
445186,"<p>It seems you are designing a simple database query engine, and are now looking for efficient cloud-native approaches to handle the backing storage.</p>
<p>This is ultimately a question of cost minimization, balancing factors such as storage costs, costs of executing a query, and development costs.</p>
<p>Some points to consider:</p>
<ul>
<li><p>Keeping the original CSV file is simple, but requires re-processing the entire file for each query, which might be a bit inefficient if those files are large.</p>
</li>
<li><p>Compression might reduce storage costs. Decompression tends to be really fast.</p>
</li>
<li><p>You might transcode the data into a different, more efficient format. For example, binary formats will be more compact especially for numerical data, and allow processing without having to re-parse the file. Data formats like Apache Parquet might be worth looking at. However, this might require that you can assign types to each column, which might be tricky in practice (e.g. phone numbers might look like integers but are not).</p>
</li>
<li><p>You might split up the data into individual columns or records. Now, executing a query will require multiple sub-queries, but you might be able to perform a query without having to load all of the data. For example with columnar storage, you only have to load the <code>age</code> column in order to evaluate an age filter. If you put the data into some existing database, this will simplify query evaluation for you. But since you don't have a clear data schema, you would be limited to non-relational databases like document databases, or would have to use an inefficient EAV design.</p>
</li>
</ul>
<p>I suspect that your volume of data is very low (only a couple of GB), that individual documents are fairly small (a couple of MB), and that your rate of queries is very low (only a couple of thousands of requests per day), so that your storage-related costs are in the cents-per-month region where significant optimization is infeasible. However, development costs are orders of magnitude larger, so that more complicated approaches are likely to be uneconomical. If you're looking for faster processing with moderate development effort, a sensible initial step would be to pre-process the uploaded data into a compressed binary data format like Parquet.</p>
"
444739,"<p>I get the feeling you are about to fall into infrastructure oversizing. Your doubts are reasonable, but they also say that you don't have any fact that you need such environment segmentation. At least not yet.</p>
<p>What do you have so far? You have a monolith, which is developed and operated across three environments. They are already provisioned with everything the solution needs to be functional. I can't think of a better starting point to test (and compare) the breakdown of the monolith.</p>
<p>As more services appear in the ecosystem, the more likely you need the flexibility to test different permutations of services. That flexibility is achieved by configuration and parameterization.</p>
<p>Bear also in mind that environments are not mere infrastructure segmentations. Environments are composed of runtime and data. Data on production is often subject to regulatory compliance, so you don't assume easily that &quot;development should use the production services&quot;. It's not that simple.</p>
<p>Think also of the costs. If you were to deploy production on some of the well-known public cloud platforms, you would realize how using production services for testing development can wipe your budget in a breath.</p>
<p>Another reason to avoid mixing up environments is metrics. Cross-env resource utilization can invalidate or distort the lecture. It's going to be hard to monitor Production for adaptions if random activity in Development (or other envs) is generating &quot;noise&quot;.</p>
<p>As an MS architect, your mind should always be on the big picture. That involves the software but also infrastructure, security, operations, cost-optimization, regulatory compliances, tracking, metrics, business goals, etc.</p>
"
444704,"<p>I am trying to figure out how to design SaaS system that offers subdomain per customer (e.g. <code>&lt;customer&gt;.example.com</code>), where each customer is on specific region.</p>
<p>Due to compliance and regulation, some customers must have all data in specific regions. There are two deployments of existing system (US and EU) with different domains. System is available only on these domains and customer must know on which system they are in order to access it.</p>
<p>Now, I want to have domains in form <code>&lt;customer-name&gt;.example.com</code> and have it automatically use deployment in appropriate region.</p>
<p>Two approaches come to mind:</p>
<ol>
<li><p>have single onboarding endpoint and during onboarding contact services in appropriate region, including configuring DNS to point subdomain to services in appropriate region.</p>
</li>
<li><p>have <code>*.example.com</code> DNS record point to global proxy that knows how to route requests to appropriate region based on <code>*</code> part of the URL by checking where the customer should go.</p>
</li>
</ol>
<p>Cloud provider is AWS, Route53 for DNS management and EKS is used. Current deployments are completely separated (except for CI, monitoring and such). I am looking for solution to utilise managed services as much as possible to reduce implementation time and maintenance overhead.</p>
<p>Option #1 is not ideal as it requires dynamically setting DNS records and potentially exposes clients names by enumerating existing DNS records.</p>
<p>Option #2 introduces additional latency and potential compliance problems (in which region is proxy hosted?).</p>
<p>Are there any other options that I am not seeing? Are there some useful articles or resources on this topic?</p>
"
442126,"<p>My team have recently inherited a very poorly written, business-critical, monolithic LAMP application with the goal of guaranteeing reasonably uptime and scalability targets in just a few weeks. Our deadline is somewhat fixed because it depends on user volumes over the peak season, which we forecast will start picking up around Black Friday.</p>
<p>The monolith is currently deployed to a single, &quot;snowflake&quot; EC2 in AWS. Deployments to this instance are entirely manual. The biggest operational risk we're currently trying to mitigate with this instance is that it currently has a dynamic IP attached, which the cloud provider would likely recover if the instance rebooted due to a server crash or maintenance work. We've spoken to AWS about it and they've confirmed they would not be able to give the IP back to us. This would break dozens of integrations that are (wrongly) currently pointing to this ephemeral IP address start failing. By some miracle though, the VM has been stable enough not to crash once so this situation has never happened before but that doesn't mean the risk of it happening is not there, especially during peak traffic.</p>
<p>The monolith is very tightly coupled to the Production environment in which it runs, as it has a ton of hardcoded references to its own Production ephemeral IP address. Moreover, all of its application config is hardcoded and duplicated across every dozens of file. All of these settings assume they're running in a Production environment too.</p>
<p>We want to make the minimum amount of changes to the application code to allow us to replace its dynamic IP with a reserved, static one. However, because the monolith is not modular at all and there is little to no code reuse in it, we've basically had to change hundreds of files just to be able to fetch all the application settings from a single config file. This has allowed us to deploy a version of the monolith with Test settings to a Test environment that we're able to run manual tests against.</p>
<p>Even though each individual change we've made is very small, we have basically touched almost every source file in the codebase. The people that wrote this legacy application and therefore had any good understanding as to how it works no longer work at our company. With no support from domain experts and no automated test coverage whatsoever, we're looking at a pretty risky, time-sensitive deployment that we know needs to happen as things could get pretty ugly for us if the instance reboots or dies for whatever reason and we lose its IP.</p>
<p>So the main question facing us now is, what would be the safest way to make this deployment happen as safely as the circumstances allow? We've also ruled out accomplishing this through multiple deployments because of how tightly coupled and messy the code is.</p>
<p>I'm not looking for any silver bullets here. Any ideas or suggestions would be more than welcome.</p>
"
441569,"<p>I'm currently developing a chatbot that will be used for booking trips. The particular party I'm interested in for now is the rider. I'm using AWS's DynamoDB, because it seemed to be the most flexible and fast for a system like this that is likely to get lots of concurrent traffic, and in which records won't have well-defined schemas.</p>
<p>The idea is, the rider greets the bot, the bot responds asking them if they're a rider or driver. For now, I'm only concerned about the rider. The first and most obvious thing is to create an item in the DB of the user, identified by the phone number of the user. in addition to that, I should also probably store the role of the user as an attribute, so that in the future they don't have to repeat this first step.</p>
<p>From here, the rider then has the option to view active trips (ones that have been booked but not completed), cancel a trip, or book a new trip. The trip details will all be stored on a different database I handle elsewhere. The only thing that I will store concerning the trip in the message history database is the trip's id, so that I can retrieve the relevant details of the trip from the other database using the id.</p>
<p>The next steps in the flow should be straightforward.</p>
<p>Here's my problem. I have to track context to know where in the flow the user is. How I'm thinking of doing this is by creating a conversation item in the database that then tracks the context/topic with a user. Then, when the user enters into a new part of the flow, the context for that conversation is updated, and the chatbot knows what response to then give.</p>
<p>From what I read in the AWS docs, they recommended that you use a single-table design for this. But I'm struggling to understand how exactly I would structure the database in this case, and particularly in an efficient manner. Would I set the partition key to be the user_id (phone number), and then store lists of messages and conversations associated with that number?</p>
<p>I'd appreciate any help with this problem.</p>
"
440067,"<p>Designing, implementing, and verifying application-side controls to manage which shard or cluster contains the data and that reads and writes are happening against the shard is probably going to be more expensive than taking advantage of out-of-the-box clustering and replication solution.</p>
<p>Availability begins with the data center. Using any reputable data center would get you things like physical security, redundant power and networking connectivity, fire control systems, and HVAC. You'd need the redundant power and networking to start to achieve the desired uptime, and the other physical safety controls would help in disaster scenarios.</p>
<p>Once you have the data center under control, the mainstream file and data storage tools offer built-in configurations around sharding and replication. These implementations are probably going to be more robustly designed and tested than any in-system features that you design. For open-source tools, they also <a href=""https://en.wikipedia.org/wiki/Linus%27s_law"" rel=""noreferrer"">benefit from many eyes</a>.</p>
<p>99% availability is really a lot of downtime. It's 00:14:24 per day - fourteen minutes and twenty-four seconds. Annually, it's over 3.5 days. Depending on your SLAs, planned downtime may or may not be considered against that 99% uptime. Regardless, that's a lot of downtime.</p>
<p>It would be probably be cheaper and less error prone to use a data storage solution's out-of-the-box sharding and replication functionality. Going with a managed service from a large provider that undergoes audits of their processes and capabilities, like Microsoft, Amazon, or Google, would increase the confidence that the desired uptime is being delivered.</p>
<p>Just as examples: A multi-availability zone deployment of AWS's RDS service for managed relational databases would get you to 99.5% availability. For files, AWS's S3 has a 99.9% monthly availability and grants 100% service credit if the availability is below 95% for a month. Going with services like these and allowing the developers to focus on your core competencies would probably pay for itself pretty quickly while exceeding your more strict availability requirements.</p>
"
436491,"<p>If you have requirements to keep data separate there are no common services. Common services are just great targets for exploit, they just increase risk and don't actually make thing easier for you. With a common service any compromised client now can potentially compromise all your clients (or you can accidentally expose one client to another's data). In addition to the security risk, any downtime on a common service affects all clients, so no you have more angry people calling or insane scheduling hurdles for planned maintenance. It's also likely that all clients will want different upgrade tempos, so it's possible you need to run multiple versions of common clients anyway because some are 2.0 and some are 1.0 and you now have tons of complexity.</p>
<p>If you have requirements to isolate something than everything that uses it needs to be isolated. It's better to think of however many microservices an app needs as a single unit in these cases. With cloud or virtual machines it's really not that different to deploy 15 services or 11 based on your examples. Cost shouldn't be dramatically different either as you should be able to downsize common services as they would get 1/3 of the traffic, and the expense of a potential breach of contract will absolutely exceed hosting costs.</p>
"
424900,"<p>We are working on a multi-tenant SaaS product that has a ledger of all tenant customer transactions, which we use to track invoice states on a line-item level. This particular application will result in a lot of upstream interactions with service providers which results in a lot of line-item debits and credits. The point being that a simple action such as generating an invoice and receiving payment, could quite easily lead to 50-100 database entries.</p>
<p>We use a normalized relational database as we a) need to do various different joins to display the data from different vantage points, and b) need to present the data at different levels of granularity.</p>
<p>For instance, the application allows different customers to execute purchases on different accounts. The system allows one to view a transaction history on an account level, or to view transactions on a customer level across accounts (these are just two examples, there are many more). Ito granularity, one might want to view all debits and credits for a single invoice, or one might want to view a debtors aging analysis, which will aggregate all records for a single tenant.</p>
<p>To ensure theses queries run in a timeous fashion, we've indexed the hell out of the database. This works reasonably well for small tenants where query times are in seconds, but the aggregate queries are into the minute mark for large customers. Ideally we would like all queries to run sub-second.</p>
<p>We've been toying with the idea of building indexed views, but given that this OLTP system is quite chatty, we are concerned that table locks (caused by the updates in referenced tables) will cause all tenants to suffer when changes are made (as naturally the indexed views would need to be recalculated).</p>
<p>Building a data warehouse, summary tables, or some sort of data cube is not ideal as it too would need to be updated in real-time since changes need to reflect immediately and we would no longer have a single source of truth. Furthermore, cost is a big concern too. Our cloud expenses are through the roof.</p>
<p>At this stage, we are thinking of building a hybrid data access layer which will cache certain views in Redis and persist the data to the source database. The views will then be updated after the TTL expires or if any records the view touches are updated. Any thoughts on this approach?</p>
"
423151,"<p>No, you should NOT expose the database publicly. This is very difficult to do safely, and is difficult to integrate directly with a HTTP-based API.</p>
<p>So what you're doing – having a web app backend that sits between the user and the database – is the typical architecture. This can deliver perfectly acceptable performance, in particular if the backend server can scale horizontally. But how performant is this will be more of a function of the networking hardware and network architecture than of the software architecture. And in most cases, the user's internet connection is the limiting factor, not your server.</p>
<p>What you can do is consider whether a SQL database has to store all of this data. If you have columns that contain large blobs (multiple MB) then you might want to consider storing the data externally. Blob storage / object storage such as S3-like storage could be more appropriate. Since every object has an URL, the user can fetch it directly without having to go through your backend. Access controls can be implemented with signed URLs that are only valid for a finite time. Your backend would then get a list of object IDs from the SQL DB, and generate signed URLs for the user.</p>
<p>Note that cloud egress charges can make such a design much more expensive than doing extensive processing and filtering within your backend. Sometimes the user will truly need access to the full data, but often they just need a summary or report of the data.</p>
<p>In this scenario it seems that you merely have a lot of data, not large blobs (average row size only about 30kB). So moving parts of the DB to external storage is likely not feasible, though it could be possible for the reference data set.</p>
"
