Id,Body
452263,"<p>please note that while I refer to a specific web application framework in the following, the problem also arises with most other web application frameworks I know so please don't be afraid to reply even if you don't have experience with NestJS.</p>
<p>I have a web application with NestJS that runs on Azure Appservices (or AWS ECS).
There are at least 2 instances active at the same time.</p>
<p>The application has a public RESTful endpoint allowing people to POST orders via HTTPS.
These are then stored in a database table.
The new orders shall be exported to a CSV file and the CSV file once a day at a fixed time to to orders processing department.
The CSV must only be emailed at most once per day.</p>
<p>Currently this does not work because the export is initiated by a @Cron (from @nestjs/schedule library) decorated method in a service class within the application.
As there are multiple instances of the docker container, the export is initiated once per running instance instead of only once per day.</p>
<p>My initial idea was to create another REST endpoint that is called once per day by a AWS lambda or Azure Functions function with a cron trigger for the lambda function. This endpoint will then invoke the export functionality.</p>
<p>As the web application instances run behind the load balancer, the HTTP POST request to start the export procedure would only be forwarded to one instance.</p>
<p>The only downside I see is that the lambda could be a single point of failure. If the cron trigger for some reason does activate or the HTTP request is lost somehow, the export would not be done right away.
But if the HTTP request to trigger the export would fail or not be sent at all on one day, it could easily be resent by manually invoking the lambda function during the day.
Another &quot;downside&quot; of this
A very small additional cost for the lamdba function resource (0,000x cents?! if already above free tier limit)</p>
<p>What the other developers suggested was to use the @nestjs/bull module which makes use of redis to synchronize a queue across all connected instances.</p>
<p>This has multiple major disadvantages in my opinion:</p>
<ul>
<li>A redis cache needs to be served with a good enough availability -&gt; bigger additional infrastructure cost per month</li>
<li>More code needed for the wrapping business logic that sets up the queues at app startup (@OnModuleInit in NestJS) compared to a small lambda function (~10 LoC) combinend with an additional HTTP POST endpoint (at most 15 LoC in NestJS)</li>
<li>NestJS specific problems: I need THREE additional dependencies: @nestjs/bull, bull, ioredis (the latter to import Redis.RedisOptions interface in the app.module)</li>
<li>Default BullModule implementation lets app startup fail when redis is not available -&gt; additional single point of failure (could potentially be circumvented by a custom wrapper module but this requires more code again)</li>
<li>Migration to other web application framework would be harder because the new framework would need to provide an implementation to consume the jobs from the redis queue. Quite unlikely that there would be an existing component that can also process the cron jobs stored in @nestjs/bull's data structures within redis. An HTTP POST API on the other hand can be replicated very easily using most web application frameworks (Spring, NestJS, Django, Golang Frameworks, etc.)</li>
</ul>
<p>Downsides both solutions have:</p>
<ul>
<li>Additional terraform resource (lambda function or redis cache)</li>
<li>Increased overall system complexity</li>
</ul>
<p>Question 1:) What am I overlooking?</p>
<p>Question 2:)
What other advantages / disadvantages do you see in both approaches?</p>
<p>Question 3:) what other approaches are there with having even fewer disadvantages?</p>
"
450653,"<blockquote>
<p>where the data will be hosted by the software company</p>
</blockquote>
<p>The problem with that approach is that you end up effectively undoing that arms-length cloud hosting when you want to draw things together for bespoke reporting, because the data ends up back in your possession for you to manage.</p>
<p>The real perceived advantage of most cloud hosting from a client perspective, is avoiding the need to retain staff who understand a particular application enough to keep it in working order, or understand a database enough to develop with it.</p>
<p>For small businesses (i.e. a one- or two-man band) who have one system and can't afford any full-time technical staff, having the provider manage everything is a boon.</p>
<p>But once you start having multiple systems to look after and extracting the data for bespoke reporting, you'll find you need all those technical staff again, not just to perform the practical work of configuration or development, but to retain the knowledge necessary to do the work and to orchestrate things in your particular business.</p>
<p>And as well as undoing <em>part of what you're paying for</em> with a cloud model, the provider also might well have your pants down just for letting you extract your own data.</p>
<p>Indeed it seems many cloud platforms are still in the subsidisation stage, where companies are going easy on the licensing charges to establish the popularity of the model, after which licensing prices will soar.</p>
<p>It's something to think carefully about.</p>
<blockquote>
<p>I'm not sure if anyone is familiar with those applications, but I'm more interested in the prospect of the organization storing data in this way without an in-house DBA to manage everything.</p>
</blockquote>
<p>For a setup of any complexity, you'll likely need internal technical staff to manage and oversee the technical setup, ongoingly.</p>
<p>If your reporting from each core system is simple (and always will be) and there isn't any need for integration of the data, you might be able to do without a data warehouse, and pipe data directly from core systems to Power BI.</p>
<p>But in my experience, you also find that core systems usually already have a simple reporting capability built-in, and people only consider facilities like Power BI when they have serious bespoke reporting needs which are not &quot;simple&quot; in the relevant sense.</p>
<p>Instead the needs are usually &quot;complex&quot; in that you need (at least) a real development environment with programming languages (at least SQL), and proper scheduling facilities. You might also need to think about test environments, source code management, credential management, network and data security, and so on. All this adds up to needing skilled staff.</p>
"
447666,"<p>I recommend going with &quot;<em>Set up a two-hop architecture</em>&quot; option you provided. This approach adds an extra layer of security and control, as the costly machine learning API is not directly exposed to the client. You can implement rate-limiting, logging, or any other security measures at the cloud function level.</p>
<p>This architecture allows you to keep your database and machine learning API separate, enabling you to scale each component independently based on its own requirements. It also mitigates the risk of having to manage two separate authentication systems, as you mentioned with the &quot;<em>JWT and Fast API</em>&quot; option.</p>
<p>To address your concerns about pricing and provider lock-in, you can design your architecture in a way that allows you to easily switch providers. Use environment variables for configuration and keep provider-specific code isolated. Most cloud providers offer cost calculators to help you estimate expenses, and you can set up monitoring and alerts to keep track of usage and any unauthorized access attempts.</p>
<p>I think your approach offers a more secure and scalable solution that aligns well with best practices for API gatekeeping.</p>
"
440285,"<p>AWS Lambdas never made any sense.</p>
<p>Or perhaps I should say &quot;serverless applications&quot; never made any sense. Because it seems to me that's what you are doing, moving application code to lambdas for cost reasons.</p>
<p>As you note, actually the lambdas all run on instances that get billed by the hour, so unless you have long periods of nothing running at all you hardly save any money over always having a tiny instance up.</p>
<p>You also have the various complexities you outline, essentially you are forced into a nano-service++ architecture with complex orchestration problems.</p>
<p>Now you can in theory imagine an application where this architecture is ideal, lots of queues, events and mini functions all working together, but in practice its a bit like functional programming. Nice in theory, but difficult to apply to standard &quot;line of business&quot; applications.</p>
<p>In summary, only use Lambdas where you have a specific need for them. Don't use them because the billing model appears different.</p>
"
439256,"<p>I work in a software company with a single product, a 25 year old monolith application (1.2m lines of code) handling all HR related data (employments, salary, collective agreements etc.).</p>
<p>I've been put on a team that needs to research how we can modernize our application and so I've started reading up on different design patterns and architectural styles. The entire developer department, including me, have had this idea that a cloud native, microservices architecture is a no brainer, but the more I read about the style the more I seem to doubt that this style is actually compatible with our extremely complex and large business domain.</p>
<p>A couple of examples for better clarification:</p>
<p><strong>An employment is terminated</strong></p>
<ul>
<li>All work times and absence items after the termination date must be deleted.</li>
<li>According to the employees collective agreement, a last date of salary must be set.</li>
<li>The employees vacation, flex, time off in lieu account etc. must be paid out or used before this date</li>
<li>The employees logins our platforms must be revoked</li>
<li>Our integration partners must get the information that this employee is no longer with the company</li>
<li>etc...</li>
</ul>
<p><strong>A shift is created</strong></p>
<ul>
<li><p>If the shift is on top of a vacation period, the vacation account must be deducted.</p>
</li>
<li><p>if the shift exceeds the collective agreements max work hours for the given period(month, week etc.). The shift should not be created OR there should a created an overtime addition for said shift</p>
</li>
<li><p>+a million other events triggered in the dependencies</p>
</li>
</ul>
<p>These examples does not even start to cover the complexities of what happens when a collective agreement changes and the impact that can have on salary, accounts etc.</p>
<p>It seems to me that our business boundaries are too large to cover by small microservices without having an absolutely wild amount of redundancy, in addition we are handling peoples salaries. Every part of the CAP principles (consistency, availability, partition tolerance) are all of high importance.</p>
<p>What are your immediate thoughts on the matter?</p>
"
439240,"<blockquote>
<p>at some point the data must exist on some server somewhere in RAM. How is the data protected at that point? From attackers? From the cloud provider? From other customers?</p>
</blockquote>
<p>We are rapidly moving towards a world where data is encrypted in RAM; see for example GCP's <a href=""https://cloud.google.com/blog/products/identity-security/confidential-computing-data-encryption-during-processing"" rel=""nofollow noreferrer"">confidential computing initiative</a> which means that data in RAM is encrypted with a VM-specific key. It is still unencrypted in the CPU itself (including caches) but that removes a number of the attacks you are worried about.</p>
<p>As for your cloud provider, you to a large extent have to trust them. Again, the major vendors are making moves to reduce the amount of trust you have to give them - see e.g. <a href=""https://aws.amazon.com/blogs/security/confidential-computing-an-aws-perspective/"" rel=""nofollow noreferrer"">this post from AWS</a> - but that trust is still to some extent required.</p>
<blockquote>
<p>Is this even a viable attack vector to be concerned about? Why? Why not?</p>
</blockquote>
<p>Without a threat model, this is an impossible question to answer. If you are being attacked by a nation-state level actor, you're probably screwed no matter what you do.</p>
"
436432,"<p>I think you need to start by figuring out how the logging will be consumed.  One of the hallmarks of cloud deployments is scaling out capacity, so the concept of ephemeral instances of a microservice or application is important.  Even if you scale the app manually, you'll likely have multiple instances of the app running simultaneously.</p>
<p>With that in mind, you have the following constraints on how that logging would be useful:</p>
<ul>
<li><strong>Log aggregation</strong>: Having one place to view and filter your logs makes maintenance much easier.  The alternative is having to log in to multiple instances of your app to figure out the general health of the application is tedious and error prone.  Particularly if the instance was automatically replaced by the operations team.</li>
<li><strong>Ephemeral instances</strong>:  If an instance of your app can come and go based on demand, your logs will no longer exist.  That's where log shipping to your log aggregation server is critical</li>
<li><strong>Tracing Failures</strong>:  When you have ephemeral instances, or multiple instances of an app or microservice, you need the ability to reconstruct what happened after the fact.  That means you need some additional context.</li>
</ul>
<h2>Splitting Responsibility</h2>
<p>Systems like the Elastic Stack, Splunk, DataDog, etc. all have the concept of a log shipper which can provide all the necessary context to your log events so you can trace it to the container or server that the application is running on.  They also have the concept of centralized log aggregation.</p>
<p>That means that you can do the following:</p>
<ul>
<li>You can add any set of constants to the shipped log entries.  For example adding a &quot;role&quot; for a log file so you can use it in search terms later.  This seems to fit your intended use.</li>
<li>Your application only needs to worry about logging its behavior.</li>
</ul>
<p>As to whether you log to STDOUT or to a file, that really depends on how the application is run.  If you are running inside a kubernetes cluster, then K8s will make all STDOUT logs accessible through the container.  However if you are running on actual machine instances, those STDOUT logs will be lost.  Most logging libraries allow you to customize the output with configuration, so leverage that to make the decision on where the logs end up an operations concern.</p>
<h3>Logs are an operational concern</h3>
<p>You can easily create a lot of log traffic if you are not careful, and not all of those logs are useful all the time.  When you have control over log levels, it's useful to separate what is needed for local debugging vs. what is needed to understand day to day operations.  Log levels were intended for this purpose.  <strong>Caveat:</strong> if you are using 3rd party frameworks, you can't control how those tool vendors set up log levels.</p>
<p>When you do have control, it's useful to set your logs like this:</p>
<ul>
<li>DEBUG (and lower): should be reserved for software developers, as they are logging low level events to help debug the internal workings while running locally.</li>
<li>INFO: should be reserved for normal operational activity of your application</li>
<li>WARNING: should be used for when you detect conditions that may make your app/microservice unstable (nearing memory limits or disk space limits for exaample)</li>
<li>ERROR: should be used for error reporting that is not expected behavior.  Good example: file permission issues preventing the app from saving data.  Bad example: parse error that is a normal part of processing data and normally reported back to the user through an API</li>
<li>SEVERE: unrecoverable errors leading to shutdown</li>
</ul>
<p>Many logging providers have a variation on a theme here, but you can usually map the concepts above to the library's term for the same concept.</p>
<p>This allows the operations team to lower the volume of log traffic by eliminating the DEBUG and lower messages, and set up alerts on the WARNING and higher messaages.</p>
<h3>OpenTracing</h3>
<p>It's great that you have a session ID to track user behavior.  Including that information in your logs helps track things at a session level.  Going a step further than that, many cloud log systems have support for something called Application Performance Monitoring (APM).  And one of the most commonly supported standards to support that is <a href=""https://opentracing.io/"" rel=""nofollow noreferrer"">OpenTracing</a>.</p>
<p>This allows you to trace a specific request from start to finish, even across asynchronous communications.  There's work to be done to define where each context begins and ends, but OpenTracing provides a way to track child contexts with parent contexts.  That way the logging aggregator you use can visualize that for you in a dashboard, and you can drill in to the specific log messages that apply.</p>
<p>It's particularly useful for the following reasons:</p>
<ul>
<li>You can calculate the overall processing time of every action</li>
<li>You can detect outliers where the performance is way out of normal</li>
<li>You can drill in and find out what happened in the outlier</li>
</ul>
<h2>Conclusion</h2>
<p>Make sure you know how you are going to consume your logging data, and design for that use case.  Know where you can decorate your logs outside of your application so you can divide the responsibilities appropriately.  And think about what is necessary to support the application once it's deployed.</p>
<p>Your first step into the process may not be 100% correct, and that's OK.  If the app is successful, you'll have the opportunity to add in log messages that are needed, and remove or downgrade the level of log messages that are no longer useful.</p>
"
433568,"<p>As <a href=""https://softwareengineering.stackexchange.com/a/433551/327061"">Doc Brown said</a>, there's no generic solution for that!</p>
<p>I would still advise you revisit your limitations, as you need to consider the total cost of ownership, IMHO. A cloud database may end up cheaper in the long run than building and maintaining this system, especially considering fixing the bugs over time due to its complexity.</p>
<p>If your limitations are legitimate (such as an air-gapped computer for security purposes) then be prepared to deal with lots of locking and merging...! A process for a user exporting from system 1 <em>may</em> be:</p>
<ol>
<li>user selects &quot;parent&quot; rows to be exported, and starts the process</li>
<li>the system will mark those rows as &quot;exported&quot; or &quot;locked&quot;. From then on they can't be edited</li>
<li>the system exports the data (this is tricky, if you have a relational system, so you're going to have to look into CSV vs backup scripts vs ETL jobs); including generating checksums</li>
<li>the user loads these files to a flash drive and &quot;imports&quot; them into system 2</li>
<li>system 2 checks checksums and loads data back into a similar relational model</li>
<li>system 2 stores the &quot;source system ID&quot; for each row, which you <em>may</em> decide will be the PK on system 2, or you may decide to use a separate PK.</li>
<li>potentially if system 2 can create data of it's own, then use a nullable source system ID to identify this</li>
</ol>
<p>You would have to ensure that:</p>
<ul>
<li>since system 2 can edit the data from system 1, you can't import the same source ID twice, lest you overwrite your own changes</li>
<li>system 1 can't edit data that is exported</li>
<li>the user can't export rows that have already been marked as exported</li>
</ul>
<p>Now this is getting into the realms of data warehousing, so I would recommend you read up on that (I don't have a link, there's heaps on the web around that). Also read up on ETL (Extract, Transform and Load).</p>
<p>The only free ETL tool I found for MySQL is <a href=""https://www.benetl.net/"" rel=""nofollow noreferrer"">Benetl</a>. I have no idea how good it is, but if you read the documentation you can decide if that's easier to work into your process than doing it manually.</p>
"
433023,"<p>According to the 12-factor-app <a href=""https://12factor.net/dev-prod-parity"" rel=""nofollow noreferrer"">dev/prod parity</a> principle, the developers' local environments and production should be similar.</p>
<p>For developers working on a system with a complex microservice-based architecture, my understanding is that, this would mean that they need to build and deploy dozens of components to their local cluster (minikube for e.g.) -- even if they work only on a small part of the overall application. I see some problems with this approach:</p>
<ul>
<li>Developer machines are obviously not as powerful as the cloud staging/prod environments. Plus they need to be able to run development software (IDE etc) on top of the cluster (including data stores).</li>
<li>Time lag before the developers can start contributing. Though this can be somewhat managed with a sufficiently automated deploy process.</li>
<li>Time spent keeping the local cluster up-to-date constantly. While cloud environments can be kept up-to-date automatically through commit hooks etc, this has to be done manually for local environment.</li>
<li>In effect, doesn't this make it similar to working on a monolithic system where to touch one part of the application, you need to build and run the entire thing.</li>
</ul>
<p>Is there a better way to handle this? Or am I misinterpreting the principle?</p>
"
433012,"<blockquote>
<p>Is correct I say that microservices are split up according to their domains? (Some references about architecture say yes) but looks like it is not a thing we must do.</p>
</blockquote>
<p>There are no absolute right nor wrong ways to define these boundaries, however to get the most benefits, separation is often focused on technical design and coupling.</p>
<p>Ideally the boundaries would leave microservices with one or more entirely self-contained capabilities - i.e. services which give users the ability to 'do something' useful/meaningful with as few dependencies as possible, ideally none.</p>
<p>For example, an authentication capability is a user login which verifies their identity using their credentials.  Many systems rely upon stand-alone services (often from a cloud provider) for authentication because that capability on its own is useful; every other part of a system could fail while that service still allows users to log in.  Similarly, it can be deployed and scaled independently without affecting the rest of the system, even reused for other systems.</p>
<p>The more dependencies a service has on other services the tighter its coupling and therefore the less value its separation has for your architecture; any change or failure in any one of its dependencies can break some or all of that service's capabilities.</p>
<p>When two or more microservices are so tightly coupled and inter-dependent on each other, their value as separate services becomes highly questionable; at this point it might really be a <em>distributed monolith</em> with very little architectural value beyond a traditional monolith, yet suffering disadvantages in gaining extra complexity with deployment, configuration, infrastructure, project structure, communication...</p>
<p>With that in mind, try to focus on capabilities which can be self-contained as far as possible to decide the boundaries and separation between services, grouping closely-related and tightly inter-dependent functionality together.</p>
<p>Some capabilities and functionality may naturally have a lot of far-reaching dependencies; you might also consider putting this functionality in their own service(s) to avoid &quot;polluting&quot; the other services with unwanted dependencies.</p>
<blockquote>
<p>What approach we should use to make the communication between the projects? I've heard about direct API calls, use table storage. Does anyone have a different idea about it?</p>
</blockquote>
<p>This depends upon your communication needs and the manner in which functionality within a service is dependent upon other services.</p>
<p>No pattern can be a one-size-fits-all; obviously the best way to minimise complexity is to minimise the dependencies in the first place, and therefore minimise the number of communication paths.</p>
<p>Web API calls via HTTP are a Request/Response pattern, which is likely to be an easy and sensible default to start with.  It may be possible to use this pattern for most of your communication paths, which might minimise complexity.    Many other patterns exist and technologies which support those patterns.</p>
"
